language,family
Koyukon,Athabaskan-Eyak-Tlingit
Krahô,Nuclear-Macro-Je
Krenyê,Not found
Krikatí,Not found
Ktunaxa,Unknown
Kubeo,Tucanoan
Kugu Muminh,Pama-Nyungan
Kugu Mu’inh,Not found
Kugu Ubangh,Not found
Kugu Uwanh,Not found
Kugu Yi’anh,Not found
Kuikuro,Cariban
Kukama Kukamiria,Tupian
Kukatj,Pama-Nyungan
Kukatja,Pama-Nyungan
Kuku-yalanji,Pama-Nyungan
Kulina,Arawan
Kulkalgau Ya,Not found
Kullilla,Pama-Nyungan
Kumeyaay/Kumiai-Tipai,Not found
Kundjey’mi,Not found
Kungarakany,Unknown
Kunigami,Japonic
Kunja,Yam
Kunjen,Pama-Nyungan
Kunza,Unknown
Kureinji,Not found
Kurnai (Gunai),Not found
Kurrama,Pama-Nyungan
Kurripako,Arawakan
Kurtjar,Pama-Nyungan
Kuruaya,Tupian
Kuthant,Pama-Nyungan
Kuuk Yak,Pama-Nyungan
Kuuku I’yu,Not found
Kuuku-yani,Pama-Nyungan
Kuuku-ya’u,Not found
Kuungkari,Pama-Nyungan
Kuupangaxwichem (Cupeño),Not found
Kuuvuan KaNianiq,Not found
Kuwarra,Not found
Kuwema,Northern Daly
Kuyani,Pama-Nyungan
Kuyubí,Not found
Ku’ahl,Not found
Kwak̓wala,Wakashan
Kwalhiokwa,Not found
Kwazá,Not found
Kwini,Worrorran
Kʷínaył,Salishan
K’iche’,Not found
Lacatca Moqoit,Not found
Ladamngid,Pama-Nyungan
Lake Miwok,Miwok-Costanoan
Lakty’añ (Ch’ol),Not found
Lakȟótiyapi (Lakota),Not found
Lamalama,Pama-Nyungan
Lamtéc Chaná,Not found
Lardil,Tangkic
Larrakia,Unknown
Lassik,Athabaskan-Eyak-Tlingit
Latje Latje,Not found
Laurentian,Iroquoian
Laymón (Cochimí),Not found
Leco,Unknown
Lenape,Algic
Lenca,Not found
LhimaꞋalhꞋama/ Lhimasipij (Tepehua),Not found
Lhéchalosem (Nooksack),Not found
Limilngan,Limilngan-Wulna
Linngithigh,Pama-Nyungan
Lipan Apache,Athabaskan-Eyak-Tlingit
Lokono (Arawak),Not found
Lower Chinook,Chinookan
Lower Rogue River,Not found
Luiseño,Uto-Aztecan
Lule,Unknown
Lule Sámi,Not found
Lummi,Salishan
Luritja,Pama-Nyungan
Lushootseed,Salishan
Luthigh,Not found
MaayatꞋaan (Maya),Not found
Maańśi Latyng,Not found
Mabuyag,Not found
Machaj Juyay,Not found
Macorix,Not found
Macuxi,Cariban
Madi Madi,Not found
Mahican,Algic
Mai Co’ca (Siona),Not found
Maiawali,Not found
Maijɨki,Not found
Mako,Saliban
Makuna-Erulia,Tucanoan
